skill,project,count
bd-test,bd-test-1,1
intermediate-javascript-modules,messagify,1
learn-accessibility,accessibility-project,1
learn-color-for-ui,color-for-ui-proj,1
learn-color-for-ui-cumulative,final,1
learn-javascript,css-selectors,1
learn-javascript,secret-message,1
learn-javascript-scope,password-validator,1
learn-javascript-scope,training-day,1
learn-jquery-iterators,collage,1
learn-jquery-manipulating-the-dom,feedster-ii,1
learn-jquery-setup,madison-square-market,1
learn-pandas-multiple-tables,pandas-proj-i,1
learn-typography-cumulative,madre-buena,1
node-sandbox,node-sandbox-blahblah,1
sorting,counting-work,1
tdd-gather,gather-phase-four,1
tdd-gather,gather-phase-three,1
tdd-vidbits,tdd-vidbits-1,1
ui-css-typography-quizproject,ui-css-typography,1
freelance-one-u6,color-house-store,2
learn-accessibility,accessproj,2
learn-accessibility-cumulative,final,2
learn-color-theory,journey-world-color,2
learn-user-centered-design,bikeshop,2
ready-web-ext,ready-html-css-prj_headlines,2
ready-web-ext,ready-html-css-prj_shutterbugg,2
learn-mocha,rooster-regulation,3
ready-make-a-website,band-site,3
learn-tdd-testing-models,tdd-model-proj,4
ready-make-a-website,amazing-space,4
ready-sass,parallax-banner,4
ready-sass,refactor-scss,4
ready-web-ext,ready-html-css-prj_move,4
learn-scipy-hypothesis-testing,familiar,5
learn-tdd-testing-server,test-server-proj,5
ready-make-a-website,cupful-cafe,5
tdd-gather,gather-phase-two,5
learn-scipy-hypothesis-testing,fetchmaker,7
ready-javascript-201-optional,atbash-cipher,7
ui-conventions-fresh-deals,fresh-deals,7
learn-user-stories,bikeshop,8
ready-javascript-201-optional,english-calculator,8
learn-tdd-feature-test,quote-keeper,10
ready-javascript-201-optional,pocketbook-internal,10
learn-numpy-statistics,cereal,11
ready-javascript-201-optional,scavenger-hunt,11
ready-learn-git,birthday-party,11
learn-numpy-statistics,election-binomial,12
ready-learn-git,poem-fiasco,12
ready-learn-git,js-homework,13
tdd-calculator,calculator-pt2,13
x-press-publishing,x-press-publishing,13
ready-learn-git,manhattan-zoo,14
ready-javascript-201-optional,build-a-library,15
learn-mocha-tdd,factorial,16
tdd-gather,gather-phase-one,16
learn-numpy-introduction,betty-bakery,20
tdd-calculator,calculator-pt1,21
learn-mocha-and-assert,rooster-regulation,22
ready-javascript-201-main,cloud-cover,26
freelance1-u7,jumpstart,27
ready-javascript-201-main,meal-maker,28
why-test,cake-clock,39
freelance1-u7,adhoc,42
learn-design-for-users,more-user-personas-2,42
learn-design-for-users,more-user-personas,49
learn-pandas-multiple-tables,multi-tables-proj,53
codestrips,codestrips-prj,67
learn-pandas-aggregates,pandas-shoefly-ab-test,96
learn-jquery-traversing-the-dom,gameboard,99
rails-auth,rails-auth_newstand-2,133
learn-pandas-introduction,pandas-inventory-proj,139
learn-jquery-style-methods,font-preview,141
learn-rails,learn-rails_stories,149
learn-alexa-persistence,cities-flashcards,157
learn-jquery-event-handlers,feedster,161
learn-jquery-effects,trivia-card,193
rails-auth,rails-auth_newstand-1,197
learn-jquery-introduction,madison-square-market,261
learn-rails,learn-rails_portfolio,277
learn-alexa-speak-slots,speak-slots,282
learn-rails,learn-rails_bass-music,283
intermediate-javascript-requests,newsworthy,303
learn-rails,learn-rails_bookmarks,318
learn-matplotlib,matplotlib-proj-i,343
learn-rails,learn-rails_threadly,408
freelance1-u8,trackster,455
learn-angularjs,angularjs_nearme-3,526
jammming,jammming-prj,531
